,timestamp,tweet_text,username,all_hashtags,followers_count,favorite_count,retweets_count,length_of_tweet
23,2020-06-22 17:39:22,"COVID lockdown: Relatives wearing protective suits offer funeral prayer for a family member, who died of COVID-19         ",mvashistpti,"['delhi', 'india', 'covid', 'lockdown2020', 'coronavirus', 'covid19', 'photooftheday', 'photojournalistmanvender']",180,0,0,122
24,2020-06-22 17:39:07, This is right time to promote  mask . selling  made from undergarments..may be after  pandemic..it will open new market for  in medicals  equipments.. reconsider ...,djlinkan,"['MakeInIndia', 'China', 'mask', 'COVID19', 'india', 'Medical']",15,0,0,166
25,2020-06-22 17:39:05,   is against  is against  is giving bloody nose and breaking necks of low Moral coward  is chasing China away is giving bloody nose selling deadly weapon to  citizens fighting with  Shame Left?,UsaKapil,"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,194
26,2020-06-22 17:38:58,"This is my latest Painting of our honourable prime minister.Our country is going through a lot right now. Via my painting, I want to say that our country is standing with our Army and with our PM.   ",abhijeet_santra,"['India', 'NarendraModi', 'painting']",5,0,0,199
27,2020-06-22 17:38:37," is destroying a region that was economically beneficial to  too in order to preserve its strongman image.The threat of  hostility is real for ,  and the entire world! It really is time to wake up and take action to stop China's expansionism. ",MaiHuongGV,"['CCP', 'China', 'CCP', 'SouthChinaSea', 'India']",64,0,0,243
28,2020-06-22 17:38:35,"  Ridiculous of u to say a pro-China lobby exists in   .... There may be difference of opinions and political rivalry but shouting on National Tv that any Indian, especially ppl that held ministries of being anti-India and pro-Enemy country is pathetic.",RohitAarrya,['India'],91,0,0,253
29,2020-06-22 17:37:58,  is against  is against  is giving bloody nose and breaking necks of low Moral coward  is chasing China away is giving bloody nose selling deadly weapon to  citizens fighting with  Shame Left?,UsaKapil,"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,193
30,2020-06-22 17:37:19,  Corps cdr meeting lasted over 10 hours and is now over. ,Yellow34950210,"['China', 'India', 'LadakhBorder']",248,0,0,58
31,2020-06-22 17:37:19, Romil Barthwal you've been contributing to a better  and world at large. Keep them coming! ,ashoksuyal,"['Realdeal', 'India']",218,0,0,92
32,2020-06-22 17:37:18,Keep Riding           ,ImAdilteli,"['cyclinglife', 'Athlete', 'AdilTeli', 'MotivationalMonday', 'fitness', 'cyclist', 'india', 'Pakistan', 'cyclingtraining', 'sports']",81,1,0,22
33,2020-06-22 17:37:16,"Lincode Labs has also designed SMAARC (Smart Manufacturing, AI, AR, and Robotics Consortium), an ecosystem of industrial partners, to scale-up the future of manufacturing technology and innovation.      ",liststartups,"['startupslist', 'startupindia', 'india', 'startups', 'entrepreneur']",154,0,0,203
34,2020-06-22 17:37:14,: 7  positive cases in tests by !       ://t.co/iPu1k2oR1f,galattadotcom,"['Shocking', 'COVID19', 'CricketSouthAfrica', 'CSA', 'SouthAfrica', 'COVID', 'coronavirus', 'India', 'Cricket', 'GalattaCares']",200130,3,1,58
35,2020-06-22 17:37:13, has been a peaceful nation like its neighbour  but  is using coercive means to influence  and exert pressure on  borders. Now I think world understands what  can achieve through 's . ,savory_allan,"['Nepal', 'India', 'CCPChina', 'Nepal', 'Indian', 'CCPChina', 'BRI', 'DebtTrap']",41,1,0,184
36,2020-06-22 17:36:11,Go for a drive? ...              ,dharagohil,"['ontheroad', 'road', 'india', 'world', 'wanderlust', 'djthewanderer', 'nightphotography', 'canon', 'canon1500d', 'canonasia', 'canonindia', 'djsyear2020pics', 'રખડપટ્ટી', 'ગુજ્જુછોકરી']",300,0,0,33
37,2020-06-22 17:36:08,   You're absolutely correct.  will want to be neutral but may not have a choice if  is engaged in a 3-front war. It will attempt to neutralize  with Russia   with .,TJamaati,"['Russia', 'China', 'Japan', 'India', 'Pakistan']",80,1,0,165
38,2020-06-22 17:35:58,Check out the The top five global concerns.Thehighest levels of concern about  that have been hardest hit by  in some countries.The government will have to take some unconscionable steps or else this rate can increase rapidly in  too. Source : ,im_parth13,"['unemployment', 'Covid_19', 'India']",416,1,0,244
39,2020-06-22 17:35:49, became  from British before 73 years ago but when will      got  from British rule of  and He breathe freely        ,rawatvijaysing1,"['India', 'Independent', 'GraminDakSewak', 'ग्रामीणडाकसेवक', 'जीडीएस', 'GDS', 'Independence', 'GDSEngagementRules']",177,0,0,117
40,2020-06-22 17:35:28,    crisis may impact India's medium term outlook: Fitch Ratings,djtradesaga,"['galwan', 'india', 'china', 'boarder']",314,1,0,64
41,2020-06-22 17:35:06," goes for a trifecta: War w/ , a  on  and two Canadians charged with espionage because they were in China when the daughter of  founder was arrested in Vancouver. Not actions of a responsible stakeholder in the liberal, global order.",clydeprestowitz,"['China', 'India', 'cyberattack', 'Australia', 'Huawei']",928,0,0,233
42,2020-06-22 17:35:03, has made it clear that there is no going back from the present stationed positions. But  is still optimistic for a Jadu Ki Jappi           ,shafkatraina,"['Chinese', 'India', 'Kashmir', 'Pakistan', 'ModiSurrendersToChina', 'IndianArmy']",101,0,0,140
43,2020-06-22 17:34:58,Follow ...                   ,PixeLllmeme,"['meme', 'memes', 'dailymemes', 'tarakmehtakaultachashma', 'tmkoc', 'tmkocmemes', 'tmkocfanclub', 'tmkocmeme', 'jethalal', 'gada', 'jethalalgada', 'babita', 'anjali', 'india', 'kerala', 'karnataka', 'america', 'maharashtra']",8,1,0,29
44,2020-06-22 17:34:54,"Rahul Gandhi tweeted: SURENDER MODI- well, in 2008, A secret deal happened- so now we know that he meant - I SURRENDERED, MODI!       Modi    ",ThedentalhubSA,"['Narendra', 'SurenderModi', 'Modi', 'BoycottChina', 'CongressInsultsArmy', 'Surrender', 'Congress', 'IndiaStandWithArmyAndModi', 'India']",767,0,0,142
45,2020-06-22 17:34:30, takes strong decision on !        ://t.co/iHTZHqjuQD,galattadotcom,"['SupremeCourt', 'PuriJagannathRathYatra', 'Puri', 'Jagannath', 'RathYatra', 'SC', 'India', 'Odisha', 'COVID19', 'coronavirus', 'GalattaCares']",200130,5,2,53
46,2020-06-22 17:34:27,"Their is no point of having proud of  5th largest .When the actual fact is, till present, we didn't tested even one percent  of our country.   ",rishabh260995,"['economy', 'population', 'India', 'coronavirus', 'COVID', 'COVID19', 'CovidTesting']",35,0,0,143
47,2020-06-22 17:34:11," Your profile contains hateful content towards  and . Also, you refer to  as the ""Cow Belt"" which in turn means that you fail to see India as a secular country.Also, there is a link to your blog which had objectionable content. ",this_speaking,"['Hindus', 'RSS', 'India']",6,0,0,228
48,2020-06-22 17:34:10,Do you think America provoking India to violate boundaries issue with China?.   ,shamsjk,"['China', 'india', 'GalwanValley']",505,1,0,80
49,2020-06-22 17:34:06,"If you want to conquer the anxiety of life, live in the moment, live in the breath.             ",guptaanks01,"['click', 'photography', 'instagram', 'photooftheday', 'nature', 'love', 'india', 'photo', 'instagood', 'photographer', 'picoftheday', 'like']",108,1,0,96
50,2020-06-22 17:34:01,"  gifted CORONA to the whole world. gifted YOGA to the whole world.Difference is in basic of life  culture.  wants to kill the world   meditate the world. captures others territory,  help other to establish democracy  rights ",bharath_53,"['china', 'INDIA', 'china', 'India', 'China', 'India', 'chinafears']",21,0,0,225
51,2020-06-22 17:33:41,JK Bank Recruitment  1850 Probationary Officer  Banking Associate Posts  Apply NowClick Below&gt&gt..              ,Govt_JobsAlerts,"['governmentjob', 'jobs2020', 'applyonline', 'indiajobs', 'gujarat', 'mumbai', 'india', 'madhyapradesh', 'bangalore', 'delhi', 'indiafacts', 'indianknowledge', 'indiajobs']",102,0,0,115
52,2020-06-22 17:33:22,"American demonstrations are due to racial discriminationBut no one dared to rise up against the Communist Party of China in the viral war that killed 100,000 people.The United States is still proud of being able to use China's APP insanely.They are worse than .",a0976205480,"['India', 'USA', 'ccp']",10,0,0,261
53,2020-06-22 17:33:14,"I accepted all the arguments. But if a celebrity has a child, is it not the fault of the child or the fault of the parents???            ",tousifaushesh,"['India', 'Nepotism', 'Bollywood', 'SushanthSinghRajput', 'KaranJohar', 'SonamKapoor', 'AliaBhatt', 'SalmanKhan', 'ShahRukhKhan', 'TigerShroff', 'SonakshiSinha', 'Filmfare']",3,1,0,137
54,2020-06-22 17:33:12," President, Tibet Govt in exile makes a valid point that  never had a border with  as it was originally  which was forcefully taken over by  ",gauaggbjp,"['LobsengSangay', 'China', 'India', 'Tibet', 'China']",685,0,0,141
55,2020-06-22 17:33:12,Chinese did a blunder by poking  ,ashokgmbl,['India'],129,0,0,33
56,2020-06-22 17:33:09,"In  buying a particular brand of  is easy, manufacturing to financing, all taken care of within the group itself. Likewise,  too must adapt-from creating capacity to financing for better utilisation  higher profitability",muralibulusu,"['India', 'motorcycle', 'airlines']",564,0,0,220
57,2020-06-22 17:32:36," Phone manufacturer   always design in California, USA.Has been assembling in India since 2017 and not in any other country. This is being done by Modi ji's .   ",SIDDHANTSH7340,"['Apple', 'MakeinIndia', 'India', 'BoycottMadeInChina']",30,0,0,161
58,2020-06-22 17:32:35,"    Yes, we are proud of Bangladesh. and everyone has to be progressive not like  who are doing war all the time and try to take revenge of Mughals from Kashmiri Muslims.  Current petrol prices  vs  big masterstroke by  ",ToddHedger,"['Endians', 'Pakistan', 'India', 'MODI']",69,0,0,220
59,2020-06-22 17:31:11,"HC directs State to carry out raids on Chemists and Manufacturers to check overpricing, poor quality of sanitizers, masks            ",latestlaws,"['Law', 'Latest', 'LatestLaws', 'LegalNews', 'India', 'IndianNews', 'News', 'Legal', 'HighCourt', 'Chemistry', 'mask', 'sanitizer']",12032,2,0,133
60,2020-06-22 17:31:07,   who is using  nowadays for their own benefit Listen they are not going to help  at any costSee the history what they did with their close ally ,JoshiBhintuna,"['USA', 'India', 'India', 'Pakistan']",6,0,0,146
61,2020-06-22 17:31:04, He should also consider buying Pubg lot of my friends have uninstalled it due to its Chinese origin. They are even ready to pay monthly charge if some Indian company acquire it or create a game like it.,shubhampathakk,"['AmbanibuyPubg', 'India', 'PUBGMOBILE', 'PUBG', 'AtmaNirbharBharat']",50,0,0,203
62,2020-06-22 17:30:58,"WWDC-2020 nothing new again, all features in iOS14 are seen in android the only presentation is new. Disappointed again .  Noting for  again FYI we are 1.3 billion people. Fully disappointed with .    ",_itentrepreneur,"['india', 'NotingForIndiaInWWDC2020', 'WWDC2020', 'MissingSteveJobs', 'SteveJobs']",14,0,0,201
63,2020-06-22 17:30:56,Download our app from google play store for more news and infotainment update.App Link -                    ,DailyFlash1,"['dailyflash', 'new', 'hunt', 'daily', 'paperboy', 'ndtv', 'Hutch', 'india', 'ananda', 'avp', 'newspaper', 'kval', 'engaget', 'drudge', 'dealnews', '6abc', 'etv', 'region', 'gizmodo']",4,0,0,108
64,2020-06-22 17:30:50,"  gifted CORONA to the whole world. gifted YOGA to the whole world.Difference is in basic of life  culture.  wants to kill the world   meditate the world. captures others territory,  help other to establish democracy  rights ",bharath_53,"['china', 'INDIA', 'china', 'India', 'China', 'India', 'chinafears']",21,0,0,225
65,2020-06-22 17:30:47,"BREAKING :: The British High Commission has confirmed that UK VACs in  have today resumed passport deliveries for student, work, visitor  other visa applicants whose decisions have been made.      ://t.co/804MJjUTmB",GlobalEdTimes,"['India', 'intled', 'highered', 'studyinuk', 'ukvisa', 'psw', 'ukvac', 'tier4']",294,0,0,215
66,2020-06-22 17:30:37,Trader's body CAIT has urged commerce and industry minister  to make it mandatory for every e commers portal to mention Country of Origin  on each products sold at their platform.    ,imPitabas25,"['BoycottChineseProducts', 'BoycottMadeInChina', 'India']",43,0,0,183
67,2020-06-22 17:30:32," but every years we know big fires(), rainforest destroyed (), killing wildlife animals(), pollution the rivers (), hot temperature () and... We need to fight for our . ",m_Teolly,"['rainforestday', 'australia', 'Brasil', 'India', 'Russia', 'Artic', 'earth', 'savetheplanet']",68,0,0,169
